Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-03-30,The Gorge,2025,https://boxd.it/9gIJaJ,3,,visually? beautiful. conceptually? pretty cool. actual storyline? not the greatest. had me in the first half and i was interesting in the infected beings (last of us fan) but not a fan of monster hunting and the action sequence were meh,,2025-03-29
2025-03-31,Knives Out,2019,https://boxd.it/9hriYn,4.5,,i was like why is he helping her WHY IS HE HELPING HERRRR??!?!?!! and that’s when i knew,,2025-03-30
2025-04-01,Death of a Unicorn,2025,https://boxd.it/9hRM5p,2.5,,“this is a horrible use of our time” he says while carrying a grandfather clock to hold a door shut,in theatres,2025-03-31
2025-04-07,Glass Onion,2022,https://boxd.it/9lngkj,4,,aka blanc rants about how he hates dumb rich people for 140 mins,,2025-04-06
2025-04-11,Snow White,2025,https://boxd.it/9ngAH7,1.5,,"OK NGL: there WERE things i liked about this (rachel zegler, andrew burnap, some cinematography was really beautiful) but more things i didn’t like (gal gadot, the cgi, the way this was all cut together, the bob, and it was overall boring). but i’m most surprised that her legal name is literally … snow white?????",in theatres,2025-04-10
2025-04-29,Past Lives,2023,https://boxd.it/9y4rT9,4.5,,there’s smt so NOT hollywood perfect about this movie that makes it so real and honest and beautiful like a true depiction of some story in real life (celine and justin wtf is going on in ur lives),i cry,2025-04-28
2025-05-04,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/9B0gvp,2,,this was boring as fuck good thing this trilogy wasnt released first bc no one wouldve cared to see the rest ,,2025-05-03
2025-05-07,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/9CP8pT,2.5,,need someone to protect me like how obiwan dived into a window without hesitation which sent him falling a million feet to the ground ,,2025-05-06
2025-05-07,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/9D2P2z,4,,"its funny and crazy how all these OLD MEN can do so many flips and tricks

and the friend/brothership breakup UGH 💔💔💔",,2025-05-06
2025-05-08,Solo: A Star Wars Story,2018,https://boxd.it/9DlvtX,1.5,,i was bored and literally didn’t pay attention until the last like 15 mins but i guess the ending made it worth it???????,background noise,2025-05-07
2025-05-09,Rogue One: A Star Wars Story,2016,https://boxd.it/9E0EFZ,4,Yes,"i wasnt sure if me at 13 yrs old watching this for the first time as a mediocre sw fan thought this was ""good"" bc i didnt know any better but im happy to say this was actually fucking sick. ",,2025-05-08
