Date,Name,Year,Letterboxd URI,Rating
2025-08-19,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,4
2025-08-20,Drive,2011,https://boxd.it/IG,3.5
2025-08-21,Superbad,2007,https://boxd.it/20hO,4.5
2025-08-22,She's All That,1999,https://boxd.it/1Wz0,3.5
2025-08-23,The Map That Leads to You,2025,https://boxd.it/O5uk,3
2025-09-02,Zombieland,2009,https://boxd.it/1En6,4.5
2025-09-03,The Roses,2025,https://boxd.it/MjnI,4
2025-09-04,Zombieland: Double Tap,2019,https://boxd.it/bgb6,3.5
2025-09-04,Stay the Night,2022,https://boxd.it/zd58,4.5
2025-10-04,Taylor Swift | The Official Release Party of a Showgirl,2025,https://boxd.it/XHN8,3.5
2025-11-02,Girl vs. Monster,2012,https://boxd.it/4r7K,3.5
2025-11-03,Cruel Intentions,1999,https://boxd.it/29Be,4
2025-11-11,Thank You for Smoking,2005,https://boxd.it/1YOc,3
2025-11-11,First Daughter,2004,https://boxd.it/1P0W,2.5
2025-11-11,Twilight,2008,https://boxd.it/1Zui,3
2025-11-16,The Twilight Saga: Eclipse,2010,https://boxd.it/1ytW,2
2025-11-16,Snow White,2025,https://boxd.it/fVuc,1.5
2025-11-17,The Twilight Saga: Breaking Dawn – Part 1,2011,https://boxd.it/DdM,3
2025-11-17,The Twilight Saga: New Moon,2009,https://boxd.it/1Hj2,2.5
2025-11-21,The Twilight Saga: Breaking Dawn – Part 2,2012,https://boxd.it/DdC,2.5
2025-11-22,Wicked: For Good,2025,https://boxd.it/AyfK,4.5
2025-11-30,Happiest Season,2020,https://boxd.it/iS3I,3
2025-12-01,A Very Jonas Christmas Movie,2025,https://boxd.it/SJ3c,3.5
2025-12-26,Noelle,2019,https://boxd.it/gdzE,3
2025-12-31,Marty Supreme,2025,https://boxd.it/Off0,2.5
2026-01-10,People We Meet on Vacation,2026,https://boxd.it/D8ME,3.5
2026-01-16,Blue Valentine,2010,https://boxd.it/MxG,3.5
2026-02-04,Zootopia 2,2025,https://boxd.it/F0vO,3.5
2026-02-11,Send Help,2026,https://boxd.it/JuhA,4.5
2026-02-14,Miss Congeniality,2000,https://boxd.it/28GM,4.5
2026-02-22,Kokuho,2025,https://boxd.it/R6yo,4
2026-02-26,How to Make a Killing,2026,https://boxd.it/gLi8,3.5
2026-03-19,The Mighty Ducks,1992,https://boxd.it/1Wka,3
2026-04-01,Ready or Not 2: Here I Come,2026,https://boxd.it/MfY6,3.5
2026-04-02,Hoppers,2026,https://boxd.it/OFpg,4
2026-04-12,Mulan,1998,https://boxd.it/1VFw,4.5
2026-04-23,The Devil Wears Prada,2006,https://boxd.it/2awE,5
2026-04-23,Avatar Aang: The Last Airbender,2026,https://boxd.it/B1BK,4
2026-04-24,The Last Song,2010,https://boxd.it/1c5I,3
2026-04-29,Project Hail Mary,2026,https://boxd.it/pEeQ,4.5
2026-04-30,The Greatest Showman,2017,https://boxd.it/acjI,3
2026-05-12,Eternity,2025,https://boxd.it/LYtK,3
2026-05-12,Hairspray,2007,https://boxd.it/261M,4.5
2026-05-29,Superman,2025,https://boxd.it/E9IU,3.5
2026-06-23,Avengers: Endgame,2019,https://boxd.it/9vE4,4.5
2026-07-22,The Odyssey,2026,https://boxd.it/QFQU,2.5
2026-07-22,Obsession,2025,https://boxd.it/PNqo,4
2026-08-02,Aladdin,2019,https://boxd.it/eSjy,2
2026-08-17,Camp Rock 3,2026,https://boxd.it/VuiW,2
