Date,Name,Year,Rating,Rewatch,Tags,Watched Date,Letterboxd URI,Like
2024-05-28,Up,2009,5.0,Yes,,2024-05-27,https://boxd.it/1OEc,True
2024-05-28,Lava,2014,4.0,Yes,,2024-05-27,https://boxd.it/8S9G,True
2024-05-28,Bao,2018,5.0,Yes,,2024-05-27,https://boxd.it/iEl4,True
2024-05-29,Challengers,2024,4.5,Yes,in theatres,2024-05-29,https://boxd.it/zld0,True
2024-06-24,Newsies,2017,5.0,No,,2024-06-23,https://boxd.it/gxzk,True
2024-06-24,Challengers,2024,4.5,Yes,in theatres,2024-06-23,https://boxd.it/zld0,True
2024-06-25,Sydney White,2007,2.5,No,,2024-06-24,https://boxd.it/1VsM,False
2024-06-25,Set It Up,2018,4.0,Yes,,2024-06-24,https://boxd.it/dpik,True
2024-06-26,Not Another Teen Movie,2001,3.5,Yes,,2024-06-25,https://boxd.it/1TWq,True
2024-07-01,Brokeback Mountain,2005,4.0,No,,2024-07-01,https://boxd.it/2b2q,True
2024-07-07,Scott Pilgrim vs. the World,2010,5.0,No,,2024-07-06,https://boxd.it/1Aq6,True
2024-07-08,Lisa Frankenstein,2024,4.0,No,,2024-07-07,https://boxd.it/ByjY,True
2024-07-16,Anyone But You,2023,3.0,No,,2024-07-15,https://boxd.it/EzA8,False
2024-08-01,Mamma Mia!,2008,5.0,Yes,,2024-08-01,https://boxd.it/1Tnq,True
2024-08-07,Mamma Mia! Here We Go Again,2018,4.0,No,,2024-08-05,https://boxd.it/gnfO,False
2024-08-13,No Hard Feelings,2023,5.0,No,,2024-08-12,https://boxd.it/xouu,True
2024-08-16,The Last Five Years,2014,3.0,No,,2024-08-16,https://boxd.it/6boO,False
2024-08-20,Dear Evan Hansen,2021,,No,,,https://boxd.it/kOP8,False
2024-08-23,The Maze Runner,2014,4.0,Yes,,2024-08-22,https://boxd.it/5YPM,True
2024-08-25,Maze Runner: The Scorch Trials,2015,3.0,Yes,,2024-08-24,https://boxd.it/9hwA,True
2024-08-26,Maze Runner: The Death Cure,2018,4.0,Yes,,2024-08-25,https://boxd.it/bakw,True
2024-08-27,Divergent,2014,3.0,No,,2024-08-26,https://boxd.it/4VT0,False
2024-08-27,Insurgent,2015,3.0,No,,2024-08-26,https://boxd.it/7NNa,False
2024-08-27,Allegiant,2016,2.0,No,,2024-08-26,https://boxd.it/7NNE,False
2024-08-28,Challengers,2024,4.5,Yes,,2024-08-27,https://boxd.it/zld0,True
2024-08-29,John Tucker Must Die,2006,3.5,No,,2024-08-28,https://boxd.it/1Z2S,True
2024-08-30,Pitch Perfect 2,2015,3.5,Yes,,2024-08-29,https://boxd.it/7tNa,True
2024-08-30,Pitch Perfect 3,2017,2.0,Yes,,2024-08-29,https://boxd.it/bUre,False
2024-08-30,Pitch Perfect,2012,5.0,Yes,,2024-08-29,https://boxd.it/3OsE,True
2024-08-31,Whiplash,2014,5.0,Yes,train time,2024-08-30,https://boxd.it/7bQA,True
2024-09-01,High School Musical 3: Senior Year,2008,5.0,Yes,,2024-09-01,https://boxd.it/1SR0,True
2024-09-03,Baby Driver,2017,4.0,Yes,,2024-09-03,https://boxd.it/bhF2,True
2024-09-03,Never Been Kissed,1999,2.0,No,,2024-09-02,https://boxd.it/1U3c,False
2024-09-04,Priscilla,2023,3.0,No,,2024-09-03,https://boxd.it/Cz3k,False
2024-09-05,Diary of a Wimpy Kid: Dog Days,2012,3.5,Yes,,2024-09-04,https://boxd.it/2TG0,True
2024-09-09,The First Time,2012,3.5,Yes,background noise,2024-09-08,https://boxd.it/2XLS,True
2024-09-10,American Assassin,2017,2.0,Yes,background noise,2024-09-09,https://boxd.it/eFLE,False
2024-09-13,Glee: The Concert Movie,2011,2.5,No,background noise,2024-09-12,https://boxd.it/2fd8,True
2024-09-15,Because I Said So,2007,2.5,No,,2024-09-14,https://boxd.it/28ZE,False
2024-09-15,Everything Everywhere All at Once,2022,5.0,Yes,"in theatres, i cry",2024-09-14,https://boxd.it/jUk4,True
2024-09-26,La La Land,2016,5.0,Yes,background noise,2024-09-26,https://boxd.it/a5fa,True
2024-10-01,Arrival,2016,4.0,No,background noise,2024-09-30,https://boxd.it/aNGk,True
2024-10-04,Challengers,2024,4.5,Yes,background noise,2024-10-03,https://boxd.it/zld0,True
2024-10-15,Saturday Night,2024,4.0,No,in theatres,2024-10-14,https://boxd.it/Gpfo,True
2024-10-17,Scream,1996,3.5,No,,2024-10-16,https://boxd.it/24EC,True
2024-10-18,The Fall Guy,2024,4.0,No,train time,2024-10-17,https://boxd.it/s0Bm,True
2024-10-31,Wizards of Waverly Place: The Movie,2009,5.0,Yes,,2024-10-30,https://boxd.it/1thQ,True
2024-11-01,The Rocky Horror Picture Show,1975,5.0,Yes,"in theatres, on stage",2024-10-31,https://boxd.it/1a3q,True
2024-11-05,Scream 2,1997,3.0,No,,2024-11-04,https://boxd.it/24Es,True
2024-11-07,"Red, White & Royal Blue",2023,4.0,Yes,,2024-11-06,https://boxd.it/z3iG,True
