Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-07-19,Bring It On: In It to Win It,2007,https://boxd.it/anYd2V,2,,,2025-07-18
2025-07-20,Bring It On: Fight to the Finish,2009,https://boxd.it/aoUWtD,1.5,,,2025-07-19
2025-07-21,Bring It On: Worldwide #Cheersmack,2017,https://boxd.it/apz7dV,0.5,,,2025-07-20
2025-07-21,Bring It On: Cheer Or Die,2022,https://boxd.it/apQKnz,2,,,2025-07-20
2025-07-22,D.E.B.S.,2004,https://boxd.it/aqEr5B,4.5,,,2025-07-21
2025-07-23,She's the Man,2006,https://boxd.it/arpSbv,5,Yes,,2025-07-22
2025-07-24,The Breakfast Club,1985,https://boxd.it/asaewx,4.5,Yes,,2025-07-23
2025-07-25,Monte Carlo,2011,https://boxd.it/asXFHb,3.5,,,2025-07-24
2025-07-26,The Nanny Diaries,2007,https://boxd.it/atDtB5,3,,,2025-07-25
2025-07-27,Confessions of a Shopaholic,2009,https://boxd.it/auHJwd,4,Yes,,2025-07-26
2025-07-28,Booksmart,2019,https://boxd.it/avhXBX,3.5,,,2025-07-27
2025-07-28,When in Rome,2010,https://boxd.it/avEWIT,4,,,2025-07-27
2025-07-29,He's Just Not That Into You,2009,https://boxd.it/awv4XB,3,Yes,,2025-07-28
2025-07-30,The Fantastic 4: First Steps,2025,https://boxd.it/axeNjh,4,,in theatres,2025-07-29
2025-07-31,Death Becomes Her,1992,https://boxd.it/ay5KZl,4.5,,,2025-07-30
2025-08-01,The Rules of Attraction,2002,https://boxd.it/ayQxEX,2.5,,,2025-07-31
2025-08-02,"I, Tonya",2017,https://boxd.it/azjhPN,4.5,,,2025-08-01
2025-08-03,No Hard Feelings,2023,https://boxd.it/aAmZ6R,5,Yes,,2025-08-02
2025-08-05,The Perks of Being a Wallflower,2012,https://boxd.it/aC8yop,4.5,Yes,i cry,2025-08-04
2025-08-06,The Cheetah Girls,2003,https://boxd.it/aCUlox,4,,,2025-08-05
2025-08-09,The Cheetah Girls 2,2006,https://boxd.it/aEyUtV,4.5,,,2025-08-08
2025-08-10,The Cheetah Girls: One World,2008,https://boxd.it/aFsHRR,2.5,,,2025-08-09
2025-08-11,My Old Ass,2024,https://boxd.it/aGOfz9,4,,,2025-08-10
2025-08-12,She's Out of My League,2010,https://boxd.it/aHz5Jn,3.5,Yes,,2025-08-11
2025-08-15,Gilmore Girls: A Year in the Life,2016,https://boxd.it/aJxBmz,3,,,2025-08-14
2025-08-15,Wild Child,2008,https://boxd.it/aJDRgp,3.5,,,2025-08-14
2025-08-17,Ice Princess,2005,https://boxd.it/aKLROV,3.5,,,2025-08-16
2025-08-18,Pretty in Pink,1986,https://boxd.it/aLDoFD,2.5,,,2025-08-17
2025-08-18,You've Got Mail,1998,https://boxd.it/aLLVoL,4.5,,,2025-08-17
2025-08-18,The Virgin Suicides,1999,https://boxd.it/aM5oGn,4,,,2025-08-17
2025-08-19,Fantastic Mr. Fox,2009,https://boxd.it/aMOpXJ,4,,,2025-08-18
